type	corpus	en_source	ko_reference	ko_target	annotation	accuracy	fluency	style	total
Training	GlobalVoices	To let Japanese buy FT will be the last thing that China wants to see. 	중국은 닛케이가 파이낸셜타임스를 인수하는 걸 절대 바라지 않는다. 	중국은 일본 고객의 FT 구매를 최종 선호로 보고 싶지 않을 것입니다.	"Accuracy: 일본 고객의(mistranslation/major), 최종 선호로 보고 싶지 않을 것입니다.(mistranslation/major)
Fluency: 최종 선호로 보고 싶지 않을 것입니다.(unnaturalness/minor)
Style: -"	35.0	5.0	0.0	40.0
Training	GlobalVoices	If our uncritical engagement with media is any indication, we’re not even particularly engaged with our own. 	미디어와의 이런 안식없는 관계는 우리가 스스로와도 밀접하게 연관되어 있지 못하는 것을 의미할 수도 있겠죠. 	우리가 언론을 세심하게 살피지 않는 걸 보면 우리 일에는 관심조차 없는 것 같다.	"Accuracy: 우리가 언론을 세심하게 살피지 않는 걸 보면(mistranslation/minor)
Fluency: -
Style: -"	7.0	0.0	0.0	7.0
Training	GlobalVoices	China: Rising prices and rooftop gardens · Global Voices 	중국: 물가상승에 따른 새로운 현상- 옥상텃밭 	글로벌 보이스(Global Voices)는 중국의 치솟는 물가와 옥상 정원의 등장에 대해 보도합니다.	"Accuracy: 등장에(addition/minor), (Global Voices)(untranslated text/minor)
Fluency: (Global Voices)(untranslated text/minor)
Style: 글로벌 보이스(Global Voices)는(structure/major), China:(structure/major)"	3.0	2.0	10.0	15.0
Training	GlobalVoices	And one year of a brave stance against great evil, but the Syrian people have vowed to never stop until the fall of the regime, until they gain freedom and dignity. 	그리고 일 년 간 거대한 악에 대항하는 용기도 볼 수 있었다. 그러나 시리아인들은 정권이 무너질 때까지, 시리아인들이 자유와 존엄을 얻을 때까지 절대 멈추지 않을 것이라고 맹세하였다. 	1년 내내 강력한 세력에 맞서는 용기를 보여줬음에도 불구하고, 시리아 시민들은 자유와 존경을 모두 얻을 때까지 정권 몰락을 향한 투쟁을 계속하겠다는 결의를 굳건히 지키고 있습니다.	"Accuracy: 세력에(mistranslation/major), 존경을(mistranslation/major)
Fluency: 불구하고,(unnaturalness/minor)
Style: -"	10.0	1.0	0.0	11.0
Training	GlobalVoices	Amina's story deeply touched and outraged Moroccan netizens, who have been using the Twitter has tag #RIPAmina to mourn the young girl. 	모로코 누리꾼들은 아미나의 이야기를 듣고 분노했고, 트위터 해쉬태그 #RIPAmina(아미나의 명복을 빕니다)를 이용해 소녀의 죽음을 추모했다. 	Amina의 이야기는 Twitter에서 해시태그 #RIPAmina를 사용하여 소녀를 애도한 온라인 모로코인들 사이에서 강렬한 동정과 분노의 감정을 불러일으켰습니다.	"Accuracy: Amina, Twitter(untranslated text/major)
Fluency: Amina, Twitter(untranslated text/major)
Style: -"	10.0	10.0	0.0	20.0
Training	GlobalVoices	A local resident said: 	한 지역 주민은 이렇게 말했다: 	인근 주민에 따르면	"Accuracy: -
Fluency: -
Style: 인근 주민에 따르면(structure/major)"	0.0	0.0	5.0	5.0
Training	GlobalVoices	According to Russian law, websites have three days to comply with orders from Roskomnadzor, before being added to the government’s Internet blacklist. 	러시아 법에 따르면, 언론 감독청 명령에 따를 시한이 3일 주어지고, 이 시한이 지나면 해당 웹사이트는 언론 감독청이 관리하는 웹 블랙리스트에 추가된다. 	Roskomnadzor가 내린 명령을 따르지 않는 웹사이트는 러시아 법률에 명시된 대로 3일의 유예 기간 후에 정부의 인터넷 등록에 의해 블랙리스트에 올라갑니다.	"Accuracy: Roskomnadzor(untranslated text/major), 등록에 의해(addition/major)
Fluency: Roskomnadzor(untranslated text/major), 정부의 인터넷 등록에 의해(unnaturalness/minor)
Style: 정부의 인터넷 등록에 의해 블랙리스트에 올라갑니다.(structure/major)"	10.0	9.0	5.0	24.0
Training	GlobalVoices	We need investors in Fiji who are willing to contribute to the economy in paying taxes. 	단 한가지 다른 점이라면 ‘워너 브라더스’는 다른 나라에서 영화를 촬영할 수 있는 선택권이 있다는 거지. 	피지의 투자자는 세금을 납부하고 경제에 상당한 기여를 해야 합니다.	"Accuracy: We need(omission/major), 해야 합니다.(mistranslation/major)
Fluency: 피지의 투자자는(unnaturalness/minor)
Style: 피지의 투자자는 세금을 납부하고 경제에 상당한 기여를 해야 합니다.(structure/major)"	20.0	2.0	5.0	27.0
Training	GlobalVoices	After a series of meandering twists Labor has finally got to the point it should have been at a year ago. 	어찌되었든 여러 우여곡절 후에 노동당은 비로소 일 년전에 시행했어야 할 탄소세 최종안을 발표했다. 	노동은 1년 전에 도달했어야 할 목적지에 여러 차례의 굴곡을 거쳐 도착했다.	"Accuracy: -
Fluency: 노동은 여러 차례의 굴곡을 거쳐 도착했다.(unnaturalness/minor)
Style: -"	0.0	6.0	0.0	6.0
Training	GlobalVoices	Syrian Children in Crisis, bitter winter adds to suffering. 	위기에 처한 시리아 아이들에게, 겨울은 또다른 고통입니다. 	위기에 처한 시리아 어린이들의 고통은 혹독한 겨울에 가중됩니다.	"Accuracy: -
Fluency: 혹독한 겨울에 가중됩니다.(unnaturalness/minor)
Style: 위기에 처한 시리아 어린이들의 고통은(structure/major)"	0.0	3.0	5.0	8.0
